TxnID,Owner,Date,PostDate,Merchant,OriginalDescription,Category,Amount,Tags,Institution,Account,AccountLast4,AccountType,SharedFlag,SplitPercent,StatementStart,StatementEnd,StatementPeriodDesc,DataSourceName,DataSourceDate,ReferenceNumber,Note,IgnoredFrom,TaxDeductible,CustomName,Currency,Extras,Description,Source
037ce51624f3c40b,Ryan,,,Recurring Payment Authorized On 09 14 Adobe Acropro Subs 408 536 6000 Ca S582257379190408 Card 0968,RECURRING PAYMENT AUTHORIZED ON 09/14 ADOBE ACROPRO SUBS 408-536-6000 CA S582257379190408 CARD 0968,Shopping,-15.81,<NA>,Wells Fargo,EVERYDAY CHECKING ...3850,3850,Cash,,,,,<NA>,RocketMoney,2025-05-19 20:34:09.353582,<NA>,,<NA>,,<NA>,USD,None,RECURRING PAYMENT AUTHORIZED ON 09/14 ADOBE ACROPRO SUBS 408-536-6000 CA S582257379190408 CARD 0968,
0bd807fadfc5f296,Ryan,2025-04-10,,Recurring Payment Authorized On 04 09 Affirm Pay 4E6J4 855 423 3729 Ca S305099375533740 Card 0968,RECURRING PAYMENT                       AUTHORIZED ON   04/09 AFFIRM * PAY 4E6J4        855-423-3729  CA  S305099375533740   CARD 0968,Loan Repayment,-135.64,<NA>,<NA>,WF EVERYDAY CHECKING (...3850),3850,<NA>,,,,,<NA>,MonarchMoney,2025-05-19 20:34:09.353582,<NA>,,<NA>,,<NA>,USD,None,RECURRING PAYMENT                       AUTHORIZED ON   04/09 AFFIRM * PAY 4E6J4        855-423-3729  CA  S305099375533740   CARD 0968,
0c9b5b40eeb388ca,Ryan,,,Recurring Payment Authorized On 09 13 Affirm Com Payment Affirm Com Ca S382257005014273 Card 0968,RECURRING PAYMENT AUTHORIZED ON 09/13 AFFIRM.COM PAYMENT AFFIRM.COM CA S382257005014273 CARD 0968,Bills & Utilities,-56.96,<NA>,Wells Fargo,EVERYDAY CHECKING ...3850,3850,Cash,,,,,<NA>,RocketMoney,2025-05-19 20:34:09.353582,<NA>,,<NA>,,<NA>,USD,None,RECURRING PAYMENT AUTHORIZED ON 09/13 AFFIRM.COM PAYMENT AFFIRM.COM CA S382257005014273 CARD 0968,
10bd702e699b9f51,Ryan,2025-04-11,,Zelle From Zimmerman Joan On 04 11 Ref Pp0Yq37Td2 April 2025 Rent,ZELLE FROM ZIMMERMAN JOAN ON 04/11 REF # PP0YQ37TD2 APRIL 2025 RENT,Transfer,700.0,<NA>,<NA>,WF EVERYDAY CHECKING (...3850),3850,<NA>,,,,,<NA>,MonarchMoney,2025-05-19 20:34:09.353582,<NA>,,<NA>,,<NA>,USD,None,ZELLE FROM ZIMMERMAN JOAN ON 04/11 REF # PP0YQ37TD2 APRIL 2025 RENT,
1692fb47992ce549,Ryan,2025-04-09,,Frys Food Drg 051,FRYS-FOOD-DRG #051,Groceries,-1.41,<NA>,<NA>,CapitalOne Savor (...2463),2463,<NA>,,,,,<NA>,MonarchMoney,2025-05-19 20:34:09.353582,<NA>,,<NA>,,<NA>,USD,None,FRYS-FOOD-DRG #051,
1bbebc89b2fe22df,Jordyn,2024-04-22,2024-04-22,Frys Fuel 7658 Gilbert Az,FRYS FUEL #7658 GILBERT AZ,Purchase,35.22,<NA>,Wells Fargo,Active Cash Visa Signature Card x4296,4296,Credit Card,,,2024-04-18,2024-05-17,Statement Period 04/18/2024 to 05/17/2024,WellsFargoVisa,2025-05-19 20:34:09.352584,2444500G18PR056HM,<NA>,<NA>,,<NA>,USD,"{""Name"": ""Jane Doe"", ""Institution"": ""Wells Fargo""}",FRYS FUEL #7658 GILBERT AZ,
2b54049d5ba0a865,Jordyn,2024-04-18,2024-04-18,Online Ach Payment Thank You,ONLINE ACH PAYMENT THANK YOU,Payment,-1000.0,<NA>,Wells Fargo,Active Cash Visa Signature Card x4296,4296,Credit Card,,,2024-04-18,2024-05-17,Statement Period 04/18/2024 to 05/17/2024,WellsFargoVisa,2025-05-19 20:34:09.352584,7414718FY0XSL66N0,<NA>,<NA>,,<NA>,USD,"{""Name"": ""Jane Doe"", ""Institution"": ""Wells Fargo""}",ONLINE ACH PAYMENT THANK YOU,
2e18249ba4e157b7,Jordyn,2023-12-18,2023-12-18,Zelle Payment To Ryan Zimmerman Jpm99A6Kgo9F,Zelle Payment To Ryan Zimmerman Jpm99A6Kgo9F,Withdrawal,1000.0,<NA>,JPMorgan Chase Bank,Total Checking x6173,6173,Checking,,,2023-12-15,2024-01-16,<NA>,ChaseChecking,2025-05-19 20:34:09.351582,Jpm99A6Kgo9F,<NA>,<NA>,,<NA>,USD,"{""Name"": ""Jane Doe"", ""Institution"": ""JPMorgan Chase Bank""}",Zelle Payment To Ryan Zimmerman Jpm99A6Kgo9F,
35bb23263e4b904c,Jordyn,2024-04-19,2024-04-19,Tst 12 West Brewing Gilbert Az,TST* 12 WEST BREWING GILBERT AZ,Purchase,11.8,<NA>,Wells Fargo,Active Cash Visa Signature Card x4296,4296,Credit Card,,,2024-04-18,2024-05-17,Statement Period 04/18/2024 to 05/17/2024,WellsFargoVisa,2025-05-19 20:34:09.352584,2413746FZ016X6LNZ,<NA>,<NA>,,<NA>,USD,"{""Name"": ""Jane Doe"", ""Institution"": ""Wells Fargo""}",TST* 12 WEST BREWING GILBERT AZ,
3fa05dd5f351ad9b,Jordyn,2023-12-18,2023-12-18,Chase Credit Crd Autopay Ppd Id 4760039224,Chase Credit Crd Autopay PPD ID: 4760039224,Withdrawal,2.99,<NA>,JPMorgan Chase Bank,Total Checking x6173,6173,Checking,,,2023-12-15,2024-01-16,<NA>,ChaseChecking,2025-05-19 20:34:09.351582,4760039224,<NA>,<NA>,,<NA>,USD,"{""Name"": ""Jane Doe"", ""Institution"": ""JPMorgan Chase Bank""}",Chase Credit Crd Autopay PPD ID: 4760039224,
